name,town,nation,place_id,rating,reviews,photos,has_website,score,band,match_confidence,headline_gap
Uddo Flooring Ltd,Edinburgh,Scotland,ChIJAxGzixLbh0gRyb0Mv0ZZF8o,5,13,10,yes,76,OK,high,Only 13 reviews — needs more to build trust
Unique Flooring Fife,Fife,Scotland,ChIJlfB37OzOh0gRWln_5Wcyhcw,4.8,56,10,yes,87,Strong,high,Only 56 reviews — needs more to build trust
White Stag Flooring,Ballater,Scotland,ChIJI7lbGlIvhEgRPnVXMj-i-fw,5,33,6,yes,84,Strong,high,Only 33 reviews — needs more to build trust
Whittons Flooring Arbroath,Arbroath,Scotland,ChIJXZdbpxCNhkgRdhPRPl6o6TE,4.6,43,6,yes,77,OK,high,Only 43 reviews — needs more to build trust
Carpetfit Wales,Aberdare,Wales,ChIJobfMmx88bkgR0awFFXwCUQ0,4.8,32,10,yes,81,Strong,high,Only 32 reviews — needs more to build trust
Castle Carpets Wrexham,Wrexham,Wales,ChIJHYRXStnBekgRzWV0aigHGBE,4.9,54,10,yes,88,Strong,review,Only 54 reviews — needs more to build trust
Floor Store U.K,Swansea,Wales,ChIJicwpZeFfbkgRki92JCeMSEU,4.7,114,10,yes,91,Strong,review,Rating is 4.7 — below the 5.0 ceiling
Floors on Floors Penarth,Penarth,Wales,ChIJ3ypGsHsDbkgRMWqMs22uTZQ,5,22,10,yes,76,OK,high,Only 22 reviews — needs more to build trust
Hughes Flooring,Pontypridd,Wales,ChIJJW8EaYEXbkgR4gAF1SVqfRY,4.4,16,0,yes,59,Needs work,review,Only 16 reviews — needs more to build trust
Our Own Designs,Cowbridge,Wales,ChIJHZeivMlybkgRoSXwwXDqF7s,3,2,0,no,21,At risk,review,Rating is 3.0 — below the 5.0 ceiling
Signature Floors Pembroke,Pembroke Dock,Wales,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
